model,validation,fold,accuracy,balanced_accuracy,macro_f1,log_loss
decision_tree_depth5,id_block_5fold,3,0.9953125,0.9982993197278912,0.9747572411785499,0.16992448144054526
decision_tree_depth5,id_block_5fold,4,0.9921875,0.9631821768955261,0.9688025249823001,0.281591042102478
decision_tree_depth5,id_block_5fold,5,1.0,1.0,1.0,0.0008997936761892707
random_forest_depth6_balanced,id_block_5fold,1,0.996875,0.9988242210464433,0.9935631186328601,0.13742735723516414
random_forest_depth6_balanced,id_block_5fold,2,0.996875,0.9809203142536477,0.9787011176082436,0.13313329751544245
random_forest_depth6_balanced,id_block_5fold,3,0.9921875,0.9971655328798187,0.9643825495872882,0.15707939360295736
random_forest_depth6_balanced,id_block_5fold,4,0.990625,0.9965397923875433,0.9765217391304347,0.17296936292687773
random_forest_depth6_balanced,id_block_5fold,5,0.996875,0.9988681380871535,0.989016439909297,0.14522549722909592
lightgbm_baseline,id_block_5fold,1,0.9984375,0.9994121105232217,0.996755943314926,0.005139792165890301
lightgbm_baseline,id_block_5fold,2,1.0,1.0,1.0,0.004524270973353808
lightgbm_baseline,id_block_5fold,3,0.99375,0.9807554600787682,0.9608390273695462,0.023842256009842324
lightgbm_baseline,id_block_5fold,4,0.9953125,0.9982698961937716,0.9878967422551819,0.02239038712514584
lightgbm_baseline,id_block_5fold,5,1.0,1.0,1.0,0.003284005040890609
