node_id,feature,threshold,samples,impurity
4,f1,0.8449999988079071,93,0.021274135738235667
0,f10,0.006049999967217445,3200,0.16521621093750005
10,f12,0.5,247,0.3506367912930879
2,f14,0.0644650012254715,343,0.5868133175802599
12,f17,0.5,200,0.08594999999999997
7,f2,0.015999999828636646,3,0.4444444444444444
3,f20,0.14249999821186066,96,0.060546875
11,f9,0.153499998152256,209,0.15741397861770567
